pdb_id,local_size_bytes,fresh_size_bytes,size_diff_bytes,local_md5,fresh_md5,local_coord_hash,fresh_coord_hash,md5_match,coord_hash_match,verdict,notes
10AJ,436744,436744,0,44d1873d5496516aa512f3c4340493fc,44d1873d5496516aa512f3c4340493fc,885667361c908f7d71e3908e75d5015e,885667361c908f7d71e3908e75d5015e,True,True,BIT_IDENTICAL,Bit-for-bit identical to current RCSB file. No modification.
10AK,512382,512382,0,32152e4937627080b159189680703dc7,32152e4937627080b159189680703dc7,456eb276c1111c11bf96710ed28d6332,456eb276c1111c11bf96710ed28d6332,True,True,BIT_IDENTICAL,Bit-for-bit identical to current RCSB file. No modification.
10AP,466048,466048,0,faa5874d5d642a3c5003e32a1dfd0844,faa5874d5d642a3c5003e32a1dfd0844,02270d27eb65df0378f9523b979397dc,02270d27eb65df0378f9523b979397dc,True,True,BIT_IDENTICAL,Bit-for-bit identical to current RCSB file. No modification.
6YHR,604303,604303,0,31968f110a163e2785ae4034e1b344ee,31968f110a163e2785ae4034e1b344ee,7b57ad0fdf3bafa4d236861984521eea,7b57ad0fdf3bafa4d236861984521eea,True,True,BIT_IDENTICAL,Bit-for-bit identical to current RCSB file. No modification.
7GQS,760454,760454,0,e2f3b1469de16f04a7eb39b5c20042ae,e2f3b1469de16f04a7eb39b5c20042ae,d877d27a2495d8e4bdbbdb9fbec90b37,d877d27a2495d8e4bdbbdb9fbec90b37,True,True,BIT_IDENTICAL,Bit-for-bit identical to current RCSB file. No modification.
7GQT,715962,715962,0,5f332ef77a682e3bf2660bc16731f035,5f332ef77a682e3bf2660bc16731f035,3cd58ee2f6023939f27ee9e353144dcf,3cd58ee2f6023939f27ee9e353144dcf,True,True,BIT_IDENTICAL,Bit-for-bit identical to current RCSB file. No modification.
7GQU,782082,782082,0,3f53d63f8f558124078d7bd9459b6af6,3f53d63f8f558124078d7bd9459b6af6,9f3c742c88c45164b443490907c2db56,9f3c742c88c45164b443490907c2db56,True,True,BIT_IDENTICAL,Bit-for-bit identical to current RCSB file. No modification.
8PFL,748903,748903,0,4dba2cbefa7588d4bc52ba8a610e9f45,4dba2cbefa7588d4bc52ba8a610e9f45,dc7ea9693d9795193c852e3a5e7ea45f,dc7ea9693d9795193c852e3a5e7ea45f,True,True,BIT_IDENTICAL,Bit-for-bit identical to current RCSB file. No modification.
8PFO,752087,752087,0,45c1933d0842b6df6c0568b8c33a14a5,45c1933d0842b6df6c0568b8c33a14a5,6c7eaf4cd31b4c855a019d6ac56e47b1,6c7eaf4cd31b4c855a019d6ac56e47b1,True,True,BIT_IDENTICAL,Bit-for-bit identical to current RCSB file. No modification.
8PFP,736338,736338,0,4b6890895b4c768fec4755a78866db7c,4b6890895b4c768fec4755a78866db7c,699c144c53ab0ed84d92775a0455d6e4,699c144c53ab0ed84d92775a0455d6e4,True,True,BIT_IDENTICAL,Bit-for-bit identical to current RCSB file. No modification.
9MJS,460207,460207,0,cad10de960b48c90b078a86096ecf669,cad10de960b48c90b078a86096ecf669,783886bb3d7451b4eac8e1b20cd7f34f,783886bb3d7451b4eac8e1b20cd7f34f,True,True,BIT_IDENTICAL,Bit-for-bit identical to current RCSB file. No modification.
9MJT,446891,446891,0,1ad427103b769bc02710869947734aeb,1ad427103b769bc02710869947734aeb,015da28deff0717c56888f57f85b3134,015da28deff0717c56888f57f85b3134,True,True,BIT_IDENTICAL,Bit-for-bit identical to current RCSB file. No modification.
9MJU,494842,494842,0,aff235919ac08fc02805f82319adf946,aff235919ac08fc02805f82319adf946,afc9227c60ce8bc7afd7f2b56d56917d,afc9227c60ce8bc7afd7f2b56d56917d,True,True,BIT_IDENTICAL,Bit-for-bit identical to current RCSB file. No modification.
9MJV,439066,439066,0,3dbb0171ac59578a07c54cab63941fc1,3dbb0171ac59578a07c54cab63941fc1,ecfceca0095363d2bea784c414e2515f,ecfceca0095363d2bea784c414e2515f,True,True,BIT_IDENTICAL,Bit-for-bit identical to current RCSB file. No modification.
