claim_id,category,claim_text,source1_csv,source2_mmcif,source3_rcsb_api,verdict,notes
A1,State counts,37 total in-scope structures,37 rows in structure_inventory.csv,37 CIFs parsed,RCSB N/A,PASS,
A2,State counts,Covalent-ligand-bound count = 10,10,10 mmCIFs with covalent Cys727 SG—ligand C bond,RCSB N/A,PASS,
A3,State counts,Non-covalent inhibitor-bound count = 10,10,10 mmCIFs with drug-like ligand no covalent bond,RCSB N/A,PASS,
A4,State counts,Fragment-bound count = 9,9,9 mmCIFs with fragment-sized ligand,RCSB N/A,PASS,
A5,State counts,Nucleotide-bound count = 5,5,5 mmCIFs with only ADP/ATP/AGS/ANP,RCSB N/A,PASS,
A6,State counts,Apo count = 2,2,"2 mmCIFs with no drug-like or nucleotide ligand (9MJT, 9S1A)",RCSB N/A,PASS,
A7,State counts,DNA-bound count = 1,1,1 mmCIF (9S19) with polydeoxyribonucleotide entity,RCSB N/A,PASS,
A8,State counts,Sum = 37,sum(state_counts) = 37,sum = 37,N/A,PASS,
B1,Exclusion,"10 classic exonuclease excluded (2AXL,2DGZ,2E1E,2E1F,2FBT,2FBV,2FBX,2FBY,2FC0,3AAF)",Transcript recorded 10 exclusions matching list,Not in the 37-CIF corpus,Historic entries in RCSB but outside inventory scope,PASS,
B2,Exclusion,7XUT excluded — RPA70N-WRN fusion,Excluded in Phase 2 refinement per transcript,Not in 37-CIF corpus,RCSB confirms: RPA70N-WRN fusion protein 140 aa total,PASS,
B3,Exclusion,6TYV excluded — Ku80 + 13-aa WRN peptide,Excluded in Phase 2 refinement per transcript,Not in 37-CIF corpus,RCSB confirms: Ku80 vWA + WRN Ku-binding motif peptide,PASS,
B4,Exclusion,8YLE excluded — N-terminal/exonuclease domain only (res 9-428),Excluded in Phase 2 refinement per transcript,Not in 37-CIF corpus,"RCSB confirms: residue range 9-428, no helicase core",PASS,
B5,Exclusion,9HZG excluded — WRN exonuclease domain (res 12-231),Excluded in Phase 2 refinement per transcript,Not in 37-CIF corpus,"RCSB confirms: residue range 12-231, no helicase core",PASS,
C1,9MJT props,9MJT resolution = 1.73 Å,1.73 Å,1.73 Å,1.73 Å,PASS,
C2,9MJT props,"9MJT has all 5 residues (L528, C727, G729, F730, I852)","L528=yes, C727=yes, G729=yes, F730=yes, I852=yes",All 5 present per residue_mapping (residue_present_and_correct=yes),"seq_len=443, mutations=0",PASS,
C3,9MJT props,9MJT is apo (no drug-like or nucleotide ligand),structure_state = apo,"nonpolymer_ligands: ZN, HOH, CL, EDO only",N/A,PASS,
